ROAD_CLASS,ACCNUM,new
Major Arterial,9001143584,Major Arterial
Major Arterial,9001143584,Major Arterial
Minor Arterial,9001133946,Minor Arterial
Minor Arterial,9001133946,Minor Arterial
Minor Arterial,9001133946,Minor Arterial
Local,9001128278,Local
Major Arterial,9001127498,Major Arterial
Major Arterial,9001127498,Major Arterial
Major Arterial,9001127498,Major Arterial
Major Arterial,9001113942,Major Arterial
Major Arterial,9001113942,Major Arterial
Major Arterial,9001103097,Major Arterial
Major Arterial,9001103097,Major Arterial
Major Arterial,9001093937,Major Arterial
Major Arterial,9001093937,Major Arterial
Major Arterial,9001093937,Major Arterial
Major Arterial,9001093833,Major Arterial
Major Arterial,9001093833,Major Arterial
Major Arterial,9001086071,Major Arterial
Major Arterial,9001086071,Major Arterial
Major Arterial,9001086071,Major Arterial
Major Arterial,9001080301,Major Arterial
Major Arterial,9001080301,Major Arterial
Major Arterial,9001076374,Major Arterial
Major Arterial,9001076374,Major Arterial
Major Arterial,9001076374,Major Arterial
Minor Arterial,9001065418,Minor Arterial
Minor Arterial,9001065418,Minor Arterial
Major Arterial Ramp,9001064376,Major Arterial Ramp
Expressway,9001053641,Expressway
Major Arterial,9001051786,Major Arterial
Major Arterial,9001051786,Major Arterial
Major Arterial,9001051544,Major Arterial
Major Arterial,9001051544,Major Arterial
Major Arterial,9001051544,Major Arterial
Major Arterial,9001044395,Major Arterial
Major Arterial,9001044395,Major Arterial
Minor Arterial,9001042474,Minor Arterial
Minor Arterial,9001042474,Minor Arterial
Major Arterial,9001022166,Major Arterial
Major Arterial,9001022166,Major Arterial
Major Arterial,9001020911,Major Arterial
Major Arterial,9001020911,Major Arterial
Major Arterial,9001020911,Major Arterial
Major Arterial,9001020911,Major Arterial
Major Arterial,9001020471,Major Arterial
Major Arterial,9001020471,Major Arterial
Major Arterial,9001020471,Major Arterial
Major Arterial,9001020471,Major Arterial
Minor Arterial,9001012160,Minor Arterial
Minor Arterial,9001012160,Minor Arterial
Major Arterial,9001007644,Major Arterial
Major Arterial,9001007644,Major Arterial
Major Arterial,9001006697,Major Arterial
Major Arterial,9001006697,Major Arterial
Major Arterial,9001003042,Major Arterial
Major Arterial,9001003042,Major Arterial
Major Arterial,9001001982,Major Arterial
Major Arterial,9001001982,Major Arterial
Major Arterial,9001001982,Major Arterial
Major Arterial,9000994854,Major Arterial
Major Arterial,9000994854,Major Arterial
Major Arterial,9000994854,Major Arterial
Local,9000983992,Local
Local,9000983992,Local
Collector,9000969517,Collector
Collector,9000969517,Collector
Minor Arterial,9000964152,Minor Arterial
Minor Arterial,9000964152,Minor Arterial
Minor Arterial,9000964152,Minor Arterial
Minor Arterial,9000964152,Minor Arterial
Minor Arterial,9000963732,Minor Arterial
Minor Arterial,9000963732,Minor Arterial
Minor Arterial,9000963732,Minor Arterial
Major Arterial,9000946918,Major Arterial
Major Arterial,9000946918,Major Arterial
Major Arterial,9000942318,Major Arterial
Major Arterial,9000942318,Major Arterial
Minor Arterial,9000941507,Minor Arterial
Minor Arterial,9000941507,Minor Arterial
Minor Arterial,9000941507,Minor Arterial
Major Arterial,9000933967,Major Arterial
Major Arterial,9000933967,Major Arterial
Major Arterial,9000931177,Major Arterial
Major Arterial,9000931177,Major Arterial
Major Arterial,9000925412,Major Arterial
Major Arterial,9000925412,Major Arterial
Minor Arterial,9000918002,Minor Arterial
Minor Arterial,9000918002,Minor Arterial
Major Arterial,9000912450,Major Arterial
Major Arterial,9000912450,Major Arterial
Major Arterial,9000912450,Major Arterial
Major Arterial,9000902435,Major Arterial
Major Arterial,9000902435,Major Arterial
Minor Arterial,9000885812,Minor Arterial
Minor Arterial,9000885812,Minor Arterial
Major Arterial,9000865737,Major Arterial
Major Arterial,9000865737,Major Arterial
Major Arterial,9000846736,Major Arterial
Major Arterial,9000846736,Major Arterial
Major Arterial,9000846736,Major Arterial
Major Arterial,9000824432,Major Arterial
Major Arterial,9000824432,Major Arterial
Major Arterial,9000820433,Major Arterial
Major Arterial,9000820433,Major Arterial
Major Arterial,9000820433,Major Arterial
Major Arterial,9000814604,Major Arterial
Major Arterial,9000814604,Major Arterial
Major Arterial,9000814288,Major Arterial
Major Arterial,9000814288,Major Arterial
Major Arterial,9000814288,Major Arterial
Major Arterial,9000814288,Major Arterial
Major Arterial,9000795261,Major Arterial
Major Arterial,9000795261,Major Arterial
Major Arterial,9000794551,Major Arterial
Major Arterial,9000794551,Major Arterial
Major Arterial,9000794310,Major Arterial
Major Arterial,9000794310,Major Arterial
Major Arterial,9000789111,Major Arterial
Major Arterial,9000786500,Major Arterial
Major Arterial,9000786500,Major Arterial
Local,9000775776,Local
Local,9000775776,Local
Major Arterial,9000755866,Major Arterial
Major Arterial,9000738008,Major Arterial
Major Arterial,9000738008,Major Arterial
Major Arterial,9000736096,Major Arterial
Major Arterial,9000736096,Major Arterial
Collector,9000731621,Collector
Collector,9000731621,Collector
Major Arterial,9000727833,Major Arterial
Major Arterial,9000727833,Major Arterial
Expressway,9000716051,Expressway
Expressway,9000716051,Expressway
Expressway,9000716051,Expressway
Expressway,9000716051,Expressway
Major Arterial,9000709404,Major Arterial
Major Arterial,9000709404,Major Arterial
Collector,9000700060,Collector
Collector,9000700060,Collector
Major Arterial,9000691466,Major Arterial
Major Arterial,9000691466,Major Arterial
Major Arterial,9000691466,Major Arterial
Major Arterial,9000685425,Major Arterial
Major Arterial,9000685425,Major Arterial
Major Arterial,9000685425,Major Arterial
Major Arterial,9000685425,Major Arterial
Major Arterial,9000685425,Major Arterial
Major Arterial,9000685425,Major Arterial
Major Arterial,9000671452,Major Arterial
Major Arterial,9000671452,Major Arterial
Major Arterial,9000663260,Major Arterial
Major Arterial,9000663260,Major Arterial
Local,9000660367,Local
Minor Arterial,9000657461,Minor Arterial
Minor Arterial,9000657461,Minor Arterial
Minor Arterial,9000657461,Minor Arterial
Minor Arterial,9000657461,Minor Arterial
Major Arterial,9000650063,Major Arterial
Major Arterial,9000650063,Major Arterial
Major Arterial,9000650063,Major Arterial
Major Arterial,9000650063,Major Arterial
Major Arterial,9000638923,Major Arterial
Major Arterial,9000638923,Major Arterial
